"filename", "language", "Properties", "JSON", "C#", "XML", "comment", "blank", "total"
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\CUtility\WorkStamp.cs", "C#", 0, 0, 10, 0, 5, 2, 17
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\Interfaces\IBorrow.cs", "C#", 0, 0, 5, 0, 4, 0, 9
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\Interfaces\IDiveable.cs", "C#", 0, 0, 5, 0, 0, 0, 5
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Classes\Interfaces\ISigner.cs", "C#", 0, 0, 4, 0, 0, 0, 4
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\ConsoleApp1.csproj", "XML", 0, 0, 0, 11, 0, 4, 15
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\Program.cs", "C#", 0, 0, 108, 0, 34, 22, 164
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\bin\Debug\net9.0\ConsoleApp1.deps.json", "JSON", 0, 41, 0, 0, 0, 0, 41
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\bin\Debug\net9.0\ConsoleApp1.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.dgspec.json", "JSON", 0, 80, 0, 0, 0, 0, 80
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.g.props", "XML", 0, 0, 0, 16, 0, 0, 16
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\ConsoleApp1.csproj.nuget.g.targets", "XML", 0, 0, 0, 2, 0, 0, 2
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\Debug\net9.0\ConsoleApp1.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 9, 5, 23
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\Debug\net9.0\ConsoleApp1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 15, 0, 0, 0, 0, 1, 16
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\Debug\net9.0\ConsoleApp1.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 1, 1, 9
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\Debug\net9.0\ConsoleApp1.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Giora\OneDrive\MyLife\Giora\לימודים\הנדסאים\שנה ב\A FINAL PROJECT\PokerMate\SEM A FINAL JOBS\OOP Divers\FINAL SESTER A OOP\ConsoleApp1\ConsoleApp1\obj\project.assets.json", "JSON", 0, 133, 0, 0, 0, 0, 133
"Total", "-", 15, 267, 2268, 29, 230, 225, 3034
